CLAVE      | MENSAJE DECODIFICADO      | ESTADO
ISOC       | AAOUNYC                   | 
ISOP       | LNRULLR                   | 
ISOM       | PLCOEMO                   | 
ISOY       | NSENAMM                   | 
ISOQ       | SSQSRYN                   | 
ISLE       | CECLDYD                   | 
ISLA       | EOIUOTE                   | 
ISLO       | TORPISA                   | 
ISLL       | PATYONO                   | 
ISLS       | OAOMSQP                   | 
ISLN       | RRPPEMI                   | 
ISLD       | ESUTUOY                   | 
ISLR       | OSDCPLY                   | 
ISLU       | ORYRINL                   | 
ISLI       | LNQOIIY                   | 
ISLT       | UIDUDSD                   | 
ISLC       | UUOTUDT                   | 
ISLP       | YROPDNQ                   | 
ISLM       | SYOOUAS                   | 
ISLY       | SUCLDAE                   | 
ISLQ       | NAYTDUN                   | 
ISSE       | SNERAYE                   | 
ISSA       | DUMLADL                   | 
ISSO       | UUSUROU                   | 
ISSL       | YQDMULA                   | 
ISSS       | YROPRPU                   | 
ISSN       | MQYNLTY                   | 
ISSD       | MTLRLNT                   | 
ISSR       | CNUTYPN                   | 
ISSU       | QIYDSPM                   | 
ISSI       | PMEMOYC                   | 
ISST       | LEIUQAY                   | 
ISSC       | SQYTQMY                   | 
ISSP       | IDSMELE                   | 
ISSM       | SLOCYPR                   | 
ISSY       | PNNDTLR                   | 
ISSQ       | PTPONTM                   | 
ISNE       | DNRDQLY                   | 
ISNA       | QQRCSDP                   | 
ISNO       | OILITEP                   | 
ISNL       | OTYQCCE                   | 
ISNS       | SAISLRC                   | 
ISNN       | AUDUOND                   | 
ISND       | DETPNCQ                   | 
ISNR       | RNLQIPQ                   | 
ISNU       | NNLYYRN                   | 
ISNI       | PTOIYEO                   | 
ISNT       | CINQDDI                   | 
ISNC       | LTCLURE                   | 
ISNP       | LUMQTOE                   | 
ISNM       | EORTRSP                   | 
ISNY       | IYLUEOA                   | 
ISNQ       | EDDAMPN                   | 
ISDE       | RDNDSEM                   | 
ISDA       | YDTDOYU                   | 
ISDO       | MRRCCRM                   | 
ISDL       | DPPUULQ                   | 
ISDS       | DPLQRPI                   | 
ISDN       | SUUMQAQ                   | 
ISDD       | TIYIPRT                   | 
ISDR       | YIQELMD                   | 
ISDU       | CYQSCOD                   | 
ISDI       | DISRIAN                   | 
ISDT       | APENIIM                   | 
ISDC       | MECLCMT                   | 
ISDP       | CTMNYAE                   | 
ISDM       | RILCAOU                   | 
ISDY       | NCOMAYR                   | 
ISDQ       | TTAQLUN                   | 
ISRE       | CEADQEQ                   | 
ISRA       | LYITPRI                   | 
ISRO       | RADUPQT                   | 
ISRL       | SERNERY                   | 
ISRS       | NUORYOY                   | 
ISRN       | YIYYUPC                   | 
ISRD       | NSQTYLP                   | 
ISRR       | PYASINO                   | 
ISRU       | QMEMQMQ                   | 
ISRI       | STUCODQ                   | 
ISRT       | EOIDUCT                   | 
ISRC       | UOSCSTY                   | 
ISRP       | SIDPYES                   | 
ISRM       | TAORNNL                   | 
ISRY       | LCNSERN                   | 
ISRQ       | QUIRROU                   | 
ISUE       | NLQNPCI                   | 
ISUA       | ETNLSNC                   | 
ISUO       | DAOTRDN                   | 
ISUL       | TDDTLRR                   | 
ISUS       | PYQCMPP                   | 
ISUN       | UPYDDTP                   | 
ISUD       | AETSRCR                   | 
ISUR       | DPSPDNE                   | 
ISUU       | ONDEMUM                   | 
ISUI       | IDSLLTT                   | 
ISUT       | LCMMEUU                   | 
ISUC       | SEAENUA                   | 
ISUP       | OCQLPPT                   | 
ISUM       | PQOTQMP                   | 
ISUY       | QSLMUAS                   | 
ISUQ       | PAMPRMO                   | 
ISIE       | LUCSSTM                   | 
ISIA       | LISAACC                   | 
ISIO       | ICRNMAT                   | 
ISIL       | MNSELDU                   | 
ISIS       | MIATMIM                   | 
ISIN       | CNAINIE                   | 
ISID       | OMMUSYM                   | 
ISIR       | MNYAQYD                   | 
ISIU       | YTOSREN                   | 
ISII       | YCNMPDI                   | 
ISIT       | ANNTQLA                   | 
ISIC       | QNPNCTS                   | 
ISIP       | TDSDALU                   | 
ISIM       | NLUSUIA                   | 
ISIY       | IOCETAA                   | 
ISIQ       | DOYMISY                   | 
ISTE       | SPOEPAC                   | 
ISTA       | QSODRSA                   | 
ISTO       | NNASIID                   | 
ISTL       | TSIESTU                   | 
ISTS       | RANIAQQ                   | 
ISTN       | ILURTQS                   | 
ISTD       | QYASATE                   | 
ISTR       | UENDESQ                   | 
ISTU       | NQTAPST                   | 
ISTI       | EIINPTP                   | 
ISTT       | DUEDAUS                   | 
ISTC       | UYLMTPE                   | 
ISTP       | DETPDSE                   | 
ISTM       | NAICLYE                   | 
ISTY       | NPADCSL                   | 
ISTQ       | SNPMSIM                   | 
ISCE       | QQUPECA                   | 
ISCA       | UARPSRI                   | 
ISCO       | QQMOYQC                   | 
ISCL       | ONORCEQ                   | 
ISCS       | OOTOAIP                   | 
ISCN       | YOMNTYL                   | 
ISCD       | SNQQTMY                   | 
ISCR       | DOLDPEQ                   | 
ISCU       | QMUURLQ                   | 
ISCI       | MDCYATT                   | 
ISCT       | QMYMPUM                   | 
ISCC       | PPRCNSL                   | 
ISCP       | UNQORPU                   | 
ISCM       | INNSSMD                   | 
ISCY       | ULPQEIE                   | 
ISCQ       | LQLSAAE                   | 
ISPE       | INSOMLS                   | 
ISPA       | CNTLYAC                   | 
ISPO       | MYNUDER                   | 
ISPL       | MQTOADM                   | 
ISPS       | MDCTOCP                   | 
ISPN       | SICELTO                   | 
ISPD       | TQIACPD                   | 
ISPR       | QRTMYUI                   | 
ISPU       | QLIYPUE                   | 
ISPI       | MSNARDA                   | 
ISPT       | ACLNSTQ                   | 
ISPC       | OLUAORR                   | 
ISPP       | EUSTUIS                   | 
ISPM       | ELNLQSU                   | 
ISPY       | DSAANEU                   | 
ISPQ       | QNIPARE                   | 
ISME       | UAITQEE                   | 
ISMA       | STAYOAN                   | 
ISMO       | QUOSREL                   | 
ISML       | YMPDCYR                   | 
ISMS       | SSATLNP                   | 
ISMN       | DNYTTND                   | 
ISMD       | MCOMTTP                   | 
ISMR       | MSTLUYM                   | 
ISMU       | NDPORUI                   | 
ISMI       | RDMURSO                   | 
ISMT       | UTCCCRN                   | 
ISMC       | NSPASEM                   | 
ISMP       | RNOIDCP                   | 
ISMM       | YCELTOT                   | 
ISMY       | AYOECMY                   | 
ISMQ       | MQSRLTO                   | 
ISYE       | OMDNSNQ                   | 
ISYA       | EYSUEMC                   | 
ISYO       | LUYMQOP                   | 
ISYL       | SAOSMTM                   | 
ISYS       | EOMYARY                   | 
ISYN       | LYCODQL                   | 
ISYD       | NTMTUNA                   | 
ISYR       | RIEAPDN                   | 
ISYU       | RYPYEMN                   | 
ISYI       | QSLNOMM                   | 
ISYT       | MDQALTO                   | 
ISYC       | LTEYYSM                   | 
ISYP       | CTYLAMU                   | 
ISYM       | SPSLQTT                   | 
ISYY       | STIYDOR                   | 
ISYQ       | LMERNCD                   | 
ISQE       | DONUTRC                   | 
ISQA       | LDCLMDN                   | 
ISQO       | SUNQSIA                   | 
ISQL       | TIAYDCO                   | 
ISQS       | UMLPMCS                   | 
ISQN       | ENEUTQA                   | 
ISQD       | DECDIAS                   | 
ISQR       | NMLLTTN                   | 
ISQU       | ISRQTCY                   | 
ISQI       | NCERISO                   | 
ISQT       | RNPMTCD                   | 
ISQC       | CIYRIER                   | 
ISQP       | OSUTART                   | 
ISQM       | EICAATL                   | 
ISQY       | NENACCP                   | 
ISQQ       | IDMPRST                   | 
INEE       | TCNPCYD                   | 
INEA       | UATMMSD                   | 
INEO       | SQQQELC                   | 
INEL       | YROCYRT                   | 
INES       | LEUOYRM                   | 
INEN       | RAROQYA                   | 
INED       | QCUIRMN                   | 
INER       | SQTTDIP                   | 
INEU       | RNMLYQD                   | 
INEI       | YULOCII                   | 
INET       | LUQMANR                   | 
INEC       | YUNDOTA                   | 
INEP       | YNOYMIA                   | 
INEM       | AEINLPO                   | 
INEY       | CUPTTQM                   | 
INEQ       | QLCDNRL                   | 
INAE       | DPMYARD                   | 
INAA       | ADCDYEC                   | 
INAO       | LMQRMPQ                   | 
INAL       | DQOQDPA                   | 
INAS       | CDLINCT                   | 
INAN       | OTOYECT                   | 
INAD       | SONLURT                   | 
INAR       | NITLLER                   | 
INAU       | EAAQSCQ                   | 
INAI       | SNDSERR                   | 
INAT       | CLTRUQO                   | 
INAC       | ITQCEUC                   | 
INAP       | DUCNNCA                   | 
INAM       | PLAACDI                   | 
INAY       | OAROSIO                   | 
INAQ       | TIQLNYQ                   | 
INOE       | CPPTSPD                   | 
INOA       | PQNSTPL                   | 
INOO       | TLYPDRA                   | 
INOL       | QAUDYUU                   | 
INOS       | NLLDCTP                   | 
INON       | RRQUAMO                   | 
INOD       | PSTIUDA                   | 
INOR       | CORISOY                   | 
INOU       | YEQSMDQ                   | 
INOI       | LULRMSO                   | 
INOT       | OONCONQ                   | 
INOC       | DPTCUUE                   | 
INOP       | ROQCYLI                   | 
INOM       | PMCRDTO                   | 
INOY       | QIARUEE                   | 
INOQ       | ARMAPAQ                   | 
INLE       | NUTQDDE                   | 
INLA       | TRQRCRE                   | 
INLO       | PNSAIOP                   | 
INLL       | QNMODAN                   | 
INLS       | LRDDYSM                   | 
INLN       | UIESLAN                   | 
INLD       | UUDTRNN                   | 
INLR       | MAEOCUA                   | 
INLU       | UNLMQOS                   | 
INLI       | PYDTTQA                   | 
INLT       | LNNLSNI                   | 
INLC       | RCYPSIN                   | 
INLP       | IIYONEE                   | 
INLM       | TTUDQYI                   | 
INLY       | MODATUQ                   | 
INLQ       | SCUILDQ                   | 
INSE       | IPCTSPE                   | 
INSA       | PUPRUCD                   | 
INSO       | ANDOANL                   | 
INSL       | DIAMYCM                   | 
INSS       | LCPQYSA                   | 
INSN       | PCSMYSM                   | 
INSD       | QOENTTL                   | 
INSR       | YMYRPUE                   | 
INSU       | CURTMRM                   | 
INSI       | NOORSEN                   | 
INST       | RNADPCD                   | 
INSC       | ONNURRS                   | 
INSP       | QYQALUT                   | 
INSM       | YEOOIUQ                   | 
INSY       | ELSAOON                   | 
INSQ       | YROMMMI                   | 
INNE       | SISYSRO                   | 
INNA       | TILOQTD                   | 
INNO       | NAPQAPS                   | 
INNL       | ETRCYUU                   | 
INNS       | YOYASCA                   | 
INNN       | TUREAIQ                   | 
INND       | IPSRERD                   | 
INNR       | YQMYMRO                   | 
INNU       | TELMDNY                   | 
INNI       | QTLNYOD                   | 
INNT       | TSOESTC                   | 
INNC       | DICQUON                   | 
INNP       | TDTDAAC                   | 
INNM       | SURSTAC                   | 
INNY       | PCPCAIL                   | 
INNQ       | INATEDU                   | 
INDE       | PLEATMU                   | 
INDA       | NNNPQYL                   | 
INDO       | QRLUSET                   | 
INDL       | ETOROOP                   | 
INDS       | NUOCQSE                   | 
INDN       | EMNQICO                   | 
INDD       | YDLNRUM                   | 
INDR       | UYIELMS                   | 
INDU       | SNDNAOS                   | 
INDI       | NODYIDD                   | 
INDT       | YNASEDM                   | 
INDC       | ELSSAAU                   | 
INDP       | QINDCYO                   | 
INDM       | DYRUQOP                   | 
INDY       | NCMOIPR                   | 
INDQ       | COOCQUR                   | 
INRE       | PSAPTPP                   | 
INRA       | NILDLEI                   | 
INRO       | EQAOYAO                   | 
INRL       | MNSAMPM                   | 
INRS       | MMLNMLY                   | 
INRN       | LECEUMM                   | 
INRD       | PETCSUQ                   | 
INRR       | CLQQROO                   | 
INRU       | SNECRMM                   | 
INRI       | OIQMTAP                   | 
INRT       | NDPRRUN                   | 
INRC       | QNCEIPN                   | 
INRP       | OASPCUT                   | 
INRM       | DQYUIRN                   | 
INRY       | QQPTDAY                   | 
INRQ       | CYPODAD                   | 
INUE       | YNYSCDE                   | 
INUA       | MYYEPMC                   | 
INUO       | NNIPDOT                   | 
INUL       | MQUYQSN                   | 
INUS       | YUQTRQN                   | 
INUN       | DPIMASE                   | 
INUD       | UELCMMC                   | 
INUR       | LNLSYDR                   | 
INUU       | TRRIQOY                   | 
INUI       | QMLCQRR                   | 
INUT       | YMSEMLT                   | 
INUC       | CMYEASY                   | 
INUP       | RUENPMR                   | 
INUM       | UAIDYMT                   | 
INUY       | SQDDNCM                   | 
INUQ       | PPYOYSY                   | 
INIE       | EIDITPS                   | 
INIA       | AYYMSMP                   | 
INIO       | YYNCCUI                   | 
INIL       | RPUOTDT                   | 
INIS       | IISQOPP                   | 
ININ       | DMLYADM                   | 
INID       | NRDLQSD                   | 
INIR       | TNETEAC                   | 
INIU       | RMTMIPO                   | 
INII       | OPLNILC                   | 
INIT       | CTPLSNN                   | 
INIC       | NIRMIEY                   | 
INIP       | SRDMNRS                   | 
INIM       | TAAYIRS                   | 
INIY       | QDAUMDT                   | 
INIQ       | DNDUOIC                   | 
INTE       | ENRCCMN                   | 
INTA       | UNYNTPM                   | 
INTO       | CPRQITO                   | 
INTL       | YYRUOMC                   | 
INTS       | NIDILED                   | 
INTN       | CQRASUN                   | 
INTD       | IONPLYQ                   | 
INTR       | CULDANP                   | 
INTU       | EMPMRTQ                   | 
INTI       | URTELPI                   | 
INTT       | YLQUSNT                   | 
INTC       | SLOSNSU                   | 
INTP       | NMAORPU                   | 
INTM       | OUYOMID                   | 
INTY       | URIOQIP                   | 
INTQ       | LEICTDP                   | 
INCE       | DOSUOTQ                   | 
INCA       | TNDOLNT                   | 
INCO       | PTIQTYQ                   | 
INCL       | ATUOMRQ                   | 
INCS       | YPONNOA                   | 
INCN       | LPRUAEU                   | 
INCD       | PUACPOE                   | 
INCR       | IPIACMU                   | 
INCU       | TRSAPON                   | 
INCI       | YPEEEYN                   | 
INCT       | SLSOAPP                   | 
INCC       | ITIUAYE                   | 
INCP       | PSTUCCA                   | 
INCM       | OAQEOTC                   | 
INCY       | LRDIILT                   | 
INCQ       | ANMSMMN                   | 
INPE       | LMNPRDN                   | 
INPA       | LASAUNL                   | 
INPO       | UEDSDNN                   | 
INPL       | SOIERDR                   | 
INPS       | TPNSDRO                   | 
INPN       | SOQDMMI                   | 
INPD       | OQEORTA                   | 
INPR       | LAQSLII                   | 
INPU       | YAPOTCU                   | 
INPI       | LEIQSYL                   | 
INPT       | IYOOPOA                   | 
INPC       | RMMTIEL                   | 
INPP       | RNODDRQ                   | 
INPM       | ENDPLRU                   | 
INPY       | OUQSUCI                   | 
INPQ       | YEDDAAC                   | 
INME       | RUEUATM                   | 
INMA       | USMIIME                   | 
INMO       | MQMETIQ                   | 
INML       | MNYRLIP                   | 
INMS       | OLMPUYS                   | 
INMN       | LTRYDIR                   | 
INMD       | QAAIMOM                   | 
INMR       | RIMYQMP                   | 
INMU       | RYPYQLO                   | 
INMI       | TCTNLRO                   | 
INMT       | UQYEARS                   | 
INMC       | UURIUCU                   | 
INMP       | DAYDLSY                   | 
INMM       | IYRPICO                   | 
INMY       | IPQPESO                   | 
INMQ       | CLNOMIE                   | 
INYE       | UCPQCLQ                   | 
INYA       | OUMQRMD                   | 
INYO       | TIOTQOY                   | 
INYL       | LUIYQPS                   | 
INYS       | SIPQQTA                   | 
INYN       | RLNRIRR                   | 
INYD       | YRNNLAP                   | 
INYR       | SPSLQOE                   | 
INYU       | TADQTTU                   | 
INYI       | RUDETLE                   | 
INYT       | SNSDLEA                   | 
INYC       | YEDIOUD                   | 
INYP       | QLSIELO                   | 
INYM       | ULNIQPE                   | 
INYY       | ROEDDLO                   | 
INYQ       | DCEDOPQ                   | 
INQE       | TACPPIE                   | 
INQA       | RCADICY                   | 
INQO       | OOQQYRI                   | 
INQL       | TARPRUC                   | 
INQS       | OQUPAPO                   | 
INQN       | CLNMQIQ                   | 
INQD       | RLDTTRN                   | 
INQR       | PYQNQNC                   | 
INQU       | QNLSIOP                   | 
INQI       | NEOMLTD                   | 
INQT       | PEACCSQ                   | 
INQC       | ANEUCIN                   | 
INQP       | LLAPTCE                   | 
INQM       | YARECTO                   | 
INQY       | DPNIDPP                   | 
INQQ       | ASIYILU                   | 
IDEE       | NOSUUYI                   | 
IDEA       | NEDMLCL                   | 
IDEO       | EDLYANA                   | 
IDEL       | EECMQAC                   | 
IDES       | CEQTYQP                   | 
IDEN       | QCTSRTI                   | 
IDED       | NACEIMD                   | 
IDER       | OIECDPM                   | 
IDEU       | ADTQNYT                   | 
IDEI       | CMSMELP                   | 
IDET       | RALNCDQ                   | 
IDEC       | INQUNMQ                   | 
IDEP       | QSEYDMP                   | 
IDEM       | DOYQCTC                   | 
IDEY       | MMARSDQ                   | 
IDEQ       | MMSDONO                   | 
IDAE       | UNLYNRY                   | 
IDAA       | QQCAQSA                   | 
IDAO       | EPEICOS                   | 
IDAL       | YESSDQA                   | 
IDAS       | UPOQYSP                   | 
IDAN       | MCSSOUD                   | 
IDAD       | ECDPEPL                   | 
IDAR       | LESLUQL                   | 
IDAU       | NNTLUSC                   | 
IDAI       | ITLNIAT                   | 
IDAT       | MSIEYIA                   | 
IDAC       | CAEAYND                   | 
IDAP       | YPIDQIT                   | 
IDAM       | TQYEIND                   | 
IDAY       | LIYOCTP                   | 
IDAQ       | LMNDSMY                   | 
IDOE       | DNDDURY                   | 
IDOA       | ISTQILA                   | 
IDOO       | SDRNYTN                   | 
IDOL       | QSNYNML                   | 
IDOS       | NLEADNM                   | 
IDON       | TEITYRC                   | 
IDOD       | LYSYINR                   | 
IDOR       | CCTRDPO                   | 
IDOU       | QOTELLD                   | 
IDOI       | ARMSCLA                   | 
IDOT       | TISEYOE                   | 
IDOC       | DIIUALU                   | 
IDOP       | SEUTYOU                   | 
IDOM       | DCEOIYR                   | 
IDOY       | ADNPAMU                   | 
IDOQ       | QISLSIQ                   | 
IDLE       | DUTCOUL                   | 
IDLA       | QYLQIYA                   | 
IDLO       | IAPMSQO                   | 
IDLL       | ALIRLNY                   | 
IDLS       | POPUTSO                   | 
IDLN       | DUSLPIM                   | 
IDLD       | ASNDLSA                   | 
IDLR       | PNSLENL                   | 
IDLU       | NSECMMC                   | 
IDLI       | INUNQOR                   | 
IDLT       | ICLYLYU                   | 
IDLC       | NLSCYAP                   | 
IDLP       | NMYEIET                   | 
IDLM       | DMMTUIA                   | 
IDLY       | IOCMMLE                   | 
IDLQ       | OIQUUPC                   | 
IDSE       | YCSUCDC                   | 
IDSA       | YCNYUTA                   | 
IDSO       | PNQUUIS                   | 
IDSL       | AELONNS                   | 
IDSS       | ECCTTII                   | 
IDSN       | MNIDCCY                   | 
IDSD       | MCPILCT                   | 
IDSR       | CDQMALL                   | 
IDSU       | LSTESUT                   | 
IDSI       | UNQREOC                   | 
IDST       | AMRUQCY                   | 
IDSC       | ECNACMQ                   | 
IDSP       | UCYLSIC                   | 
IDSM       | UITTDPS                   | 
IDSY       | ONSECOT                   | 
IDSQ       | ONOQCNP                   | 
IDNE       | PTIUDQU                   | 
IDNA       | INAIOTD                   | 
IDNO       | MEAYCMR                   | 
IDNL       | OAYCLIT                   | 
IDNS       | LMSDANR                   | 
IDNN       | PALPIMO                   | 
IDND       | EOSLCLQ                   | 
IDNR       | YYANRDD                   | 
IDNU       | TTPLTCY                   | 
IDNI       | MDMMAEC                   | 
IDNT       | RMTPDMA                   | 
IDNC       | UEOSCMI                   | 
IDNP       | LREOQIM                   | 
IDNM       | EQRCLUQ                   | 
IDNY       | YYTULII                   | 
IDNQ       | MTTNLOE                   | 
IDDE       | NQPRCNS                   | 
IDDA       | ISORDOI                   | 
IDDO       | AAQAQMD                   | 
IDDL       | UYALADS                   | 
IDDS       | YOSAIPP                   | 
IDDN       | LSETIME                   | 
IDDD       | NANALCL                   | 
IDDR       | IOOYEMM                   | 
IDDU       | LLDCRLL                   | 
IDDI       | OCLQTQI                   | 
IDDT       | RETTSDI                   | 
IDDC       | TSRMCTN                   | 
IDDP       | YRLYUNE                   | 
IDDM       | CQPMTOA                   | 
IDDY       | DSSCIMR                   | 
IDDQ       | RNAPPEU                   | 
IDRE       | ODLQDAR                   | 
IDRA       | UQPUODO                   | 
IDRO       | LERYTSA                   | 
IDRL       | IAUSUYT                   | 
IDRS       | INOOYIA                   | 
IDRN       | ILEYMCD                   | 
IDRD       | LYOMNOY                   | 
IDRR       | DNIQPYL                   | 
IDRU       | DNYUQPQ                   | 
IDRI       | SNQSNUU                   | 
IDRT       | AUNMAOA                   | 
IDRC       | INACNMT                   | 
IDRP       | IULAQAS                   | 
IDRM       | MNPTRUY                   | 
IDRY       | MECEASP                   | 
IDRQ       | RNIANSM                   | 
IDUE       | AAMCDUT                   | 
IDUA       | SYOISSQ                   | 
IDUO       | SYLISUM                   | 
IDUL       | YIDAQMO                   | 
IDUS       | MRLDPTC                   | 
IDUN       | UTCNUEY                   | 
IDUD       | LAIMROR                   | 
IDUR       | SQIDTLI                   | 
IDUU       | AUPLLSY                   | 
IDUI       | EMPUMAP                   | 
IDUT       | EUCDYOY                   | 
IDUC       | EOCDQLD                   | 
IDUP       | ULSSLRD                   | 
IDUM       | TECDTNM                   | 
IDUY       | AONORAP                   | 
IDUQ       | TONULAO                   | 
IDIE       | SNITDYM                   | 
IDIA       | YEQPIMP                   | 
IDIO       | YLREYRD                   | 
IDIL       | SPQNLMC                   | 
IDIS       | RALNTMS                   | 
IDIN       | YTNOQAN                   | 
IDID       | DLCRLTP                   | 
IDIR       | EDYREQQ                   | 
IDIU       | UDQADTC                   | 
IDII       | ENYIEMR                   | 
IDIT       | APETLCS                   | 
IDIC       | SONCRTP                   | 
IDIP       | LQPNCYT                   | 
IDIM       | UPEMYTO                   | 
IDIY       | TPEIDEE                   | 
IDIQ       | DODYNDL                   | 
IDTE       | IODDSPT                   | 
IDTA       | CLOYAOI                   | 
IDTO       | RAQSDEO                   | 
IDTL       | RECYTNI                   | 
IDTS       | OSSUSTE                   | 
IDTN       | DCSEREQ                   | 
IDTD       | DLOYEAD                   | 
IDTR       | OLPPIND                   | 
IDTU       | ELURIRI                   | 
IDTI       | ADQUEQO                   | 
IDTT       | ALDUCUU                   | 
IDTC       | IIQNUYN                   | 
IDTP       | UELNAUI                   | 
IDTM       | AINRMUD                   | 
IDTY       | YDPITLU                   | 
IDTQ       | SNIDRAD                   | 
IDCE       | PAATDUO                   | 
IDCA       | TQACAUM                   | 
IDCO       | YTAIMEC                   | 
IDCL       | PTINQMU                   | 
IDCS       | DMTQTYQ                   | 
IDCN       | DDEURRM                   | 
IDCD       | UPIPNRP                   | 
IDCR       | ERQIOTA                   | 
IDCU       | LDPOEPU                   | 
IDCI       | ETLAMCO                   | 
IDCT       | IYIMDOP                   | 
IDCC       | ULRPUIL                   | 
IDCP       | ASYOCCD                   | 
IDCM       | ALYLLMQ                   | 
IDCY       | SARIUOY                   | 
IDCQ       | UMUTIQD                   | 
IDPE       | UMCTNTN                   | 
IDPA       | EOSLDPR                   | 
IDPO       | ORTMPUO                   | 
IDPL       | MNOPTUA                   | 
IDPS       | YYMLOPC                   | 
IDPN       | UNOLTLI                   | 
IDPD       | MTSYTSP                   | 
IDPR       | AICUMPA                   | 
IDPU       | TTPSUCT                   | 
IDPI       | UNYDUYU                   | 
IDPT       | PPOIQYO                   | 
IDPC       | ICEIAAR                   | 
IDPP       | CEYSCPY                   | 
IDPM       | SPRDIUC                   | 
IDPY       | ODIUORP                   | 
IDPQ       | RUSCILO                   | 
IDME       | DOLNTCQ                   | 
IDMA       | DITUDLC                   | 
IDMO       | SONMNLD                   | 
IDML       | CPRUEIE                   | 
IDMS       | UPSYDDQ                   | 
IDMN       | LRETLSL                   | 
IDMD       | ADCYILR                   | 
IDMR       | AIOMDUI                   | 
IDMU       | TEAAUAD                   | 
IDMI       | YSDPMOQ                   | 
IDMT       | DLMICOD                   | 
IDMC       | EDDIPPN                   | 
IDMP       | DDASPOY                   | 
IDMM       | QULDDQD                   | 
IDMY       | TQSYYQE                   | 
IDMQ       | EUMRPPL                   | 
IDYE       | IYPMEYQ                   | 
IDYA       | DOUOTNO                   | 
IDYO       | LYDAPAS                   | 
IDYL       | UMAUDPI                   | 
IDYS       | OTETOUQ                   | 
IDYN       | AMYEURD                   | 
IDYD       | ATQSUMS                   | 
IDYR       | IEPEQAN                   | 
IDYU       | LPDCYNR                   | 
IDYI       | OSEEDCP                   | 
IDYT       | RLORIUQ                   | 
IDYC       | EECUPMC                   | 
IDYP       | RQNMUDP                   | 
IDYM       | PULQLCE                   | 
IDYY       | UIEIUDE                   | 
IDYQ       | DOMSTOI                   | 
IDQE       | YAENERL                   | 
IDQA       | YDDOLEC                   | 
IDQO       | YQAEPTP                   | 
IDQL       | ECAAYCQ                   | 
IDQS       | AQCYRCS                   | 
IDQN       | AYUCNAT                   | 
IDQD       | RYSMQIN                   | 
IDQR       | ASQQNNQ                   | 
IDQU       | EOAULTQ                   | 
IDQI       | RDMCYQS                   | 
IDQT       | LDIMONS                   | 
IDQC       | ADANNIT                   | 
IDQP       | AETYSSY                   | 
IDQM       | YSLDMET                   | 
IDQY       | IYTUPPL                   | 
IDQQ       | RDRSOPC                   | 
IREE       | INUUEUQ                   | 
IREA       | TOTLPUO                   | 
IREO       | ANDDEDA                   | 
IREL       | LECEURM                   | 
IRES       | SLUDNUC                   | 
IREN       | TPOURRR                   | 
IRED       | PMSOCMM                   | 
IRER       | OCPEAEQ                   | 
IREU       | ANIAOSC                   | 
IREI       | OTLDCLU                   | 
IRET       | OYIMMNP                   | 
IREC       | CCRQUYE                   | 
IREP       | ALPDCNS                   | 
IREM       | TOUYAYQ                   | 
IREY       | QRARNII                   | 
IREQ       | DNDYLUL                   | 
IRAE       | POTRUNN                   | 
IRAA       | TAMCQOP                   | 
IRAO       | NRMUAPP                   | 
IRAL       | LSUIMRQ                   | 
IRAS       | ILTCSRS                   | 
IRAN       | PNPCUIR                   | 
IRAD       | NRIMCMS                   | 
IRAR       | NNYPDIE                   | 
IRAU       | NLLPRPM                   | 
IRAI       | PQOSPOC                   | 
IRAT       | PIUYRQU                   | 
IRAC       | MDNMDEI                   | 
IRAP       | ONUPYOQ                   | 
IRAM       | TLUUADP                   | 
IRAY       | UDYENON                   | 
IRAQ       | OSMMSLR                   | 
IROE       | MRTSAPO                   | 
IROA       | SQCNYUO                   | 
IROO       | SRUUCSU                   | 
IROL       | MMYTSCQ                   | 
IROS       | SSSCQUO                   | 
IRON       | QRAYOCO                   | 
IROD       | OYIRDOM                   | 
IROR       | SCOREAA                   | 
IROU       | IIDDCAT                   | 
IROI       | QNMUAQM                   | 
IROT       | MOLUSOY                   | 
IROC       | OIATCRU                   | 
IROP       | RNCQIRY                   | 
IROM       | PISRUPO                   | 
IROY       | PROAORM                   | 
IROQ       | MNNCOOT                   | 
IRLE       | PUQLTLQ                   | 
IRLA       | EMDDLUD                   | 
IRLO       | MLIDUEY                   | 
IRLL       | RQPURLI                   | 
IRLS       | RNDDCTC                   | 
IRLN       | ROQNSCI                   | 
IRLD       | NIYDNYN                   | 
IRLR       | YDCRQOI                   | 
IRLU       | RTCUUYT                   | 
IRLI       | YSMCEOO                   | 
IRLT       | LCPTROA                   | 
IRLC       | RIYYEQE                   | 
IRLP       | ETOMNYI                   | 
IRLM       | RYREDOQ                   | 
IRLY       | RTRPCUL                   | 
IRLQ       | RIYDNUA                   | 
IRSE       | PYAEISQ                   | 
IRSA       | IDMCDOR                   | 
IRSO       | DQPURRO                   | 
IRSL       | TOMSUNC                   | 
IRSS       | YNAIRLO                   | 
IRSN       | RAQYPMP                   | 
IRSD       | DTDOTDN                   | 
IRSR       | LCSUTID                   | 
IRSU       | SMTLQDC                   | 
IRSI       | EYMPSTA                   | 
IRST       | YAPQSMO                   | 
IRSC       | NTOSCSO                   | 
IRSP       | CEDEOPA                   | 
IRSM       | ANYUEDN                   | 
IRSY       | DSOUUUI                   | 
IRSQ       | SIRPMDD                   | 
IRNE       | OYYDNTS                   | 
IRNA       | COACQUO                   | 
